,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
20785,Transport: type 2,Working,Laborers,,,,,
20786,XNA,Pensioner,UNKNOWN,,,,,
20787,XNA,Pensioner,UNKNOWN,,,,,
20788,Self-employed,Working,Sales staff,,,,,
20789,Transport: type 4,Working,Cleaning staff,,,,,
20790,XNA,Pensioner,UNKNOWN,,,,,
20791,XNA,Pensioner,UNKNOWN,,,,,
20792,XNA,Pensioner,UNKNOWN,,,,,
20793,XNA,Pensioner,UNKNOWN,,,,,
20794,Self-employed,Working,UNKNOWN,,,,,
20795,Bank,Working,Core staff,,,,,
20796,XNA,Pensioner,UNKNOWN,,,,,
20797,Business Entity Type 3,Commercial associate,IT staff,,,,,
20798,Business Entity Type 3,Commercial associate,Laborers,,,,,
20799,Agriculture,Working,UNKNOWN,,,,,
20800,Business Entity Type 3,Commercial associate,Managers,,,,,
20801,Medicine,Working,Core staff,,,,,
20802,Other,Commercial associate,UNKNOWN,,,,,
20803,XNA,Pensioner,UNKNOWN,,,,,
20804,Medicine,Working,Laborers,,,,,
20805,Self-employed,Commercial associate,Sales staff,,,,,
20806,Other,Commercial associate,Accountants,,,,,
20807,Business Entity Type 3,Working,Cleaning staff,,,,,
20808,Government,Working,Low-skill Laborers,,,,,
20809,XNA,Pensioner,UNKNOWN,,,,,
20810,School,Working,Drivers,,,,,
20811,Trade: type 7,Working,Sales staff,,,,,
20812,Medicine,Commercial associate,Laborers,,,,,
20813,Business Entity Type 3,Working,High skill tech staff,,,,,
20814,Self-employed,Working,Drivers,,,,,
20815,Business Entity Type 3,Working,UNKNOWN,,,,,
20816,Business Entity Type 3,Working,Laborers,,,,,
20817,XNA,Pensioner,UNKNOWN,,,,,
20818,Self-employed,Commercial associate,Core staff,,,,,
20819,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
20820,Other,Working,Sales staff,,,,,
20821,Business Entity Type 2,Working,UNKNOWN,,,,,
20822,XNA,Pensioner,UNKNOWN,,,,,
20823,Transport: type 2,Working,High skill tech staff,,,,,
20824,XNA,Pensioner,UNKNOWN,,,,,
20825,Business Entity Type 3,Working,Managers,,,,,
20826,Kindergarten,Working,Core staff,,,,,
20827,Self-employed,Working,Sales staff,,,,,
20828,XNA,Pensioner,UNKNOWN,,,,,
20829,Government,State servant,Core staff,,,,,
20830,Business Entity Type 2,Working,Laborers,,,,,
20831,Construction,Commercial associate,UNKNOWN,,,,,
20832,Medicine,State servant,Laborers,,,,,
20833,Government,Working,UNKNOWN,,,,,
20834,Self-employed,Commercial associate,Laborers,,,,,
20835,XNA,Pensioner,UNKNOWN,,,,,
20836,Telecom,Working,Core staff,,,,,
20837,Business Entity Type 3,Working,UNKNOWN,,,,,
20838,XNA,Pensioner,UNKNOWN,,,,,
20839,Business Entity Type 3,Working,UNKNOWN,,,,,
20840,Trade: type 6,Working,UNKNOWN,,,,,
20841,Medicine,State servant,UNKNOWN,,,,,
20842,Self-employed,Commercial associate,Drivers,,,,,
20843,XNA,Pensioner,UNKNOWN,,,,,
20844,Kindergarten,Working,Core staff,,,,,
20845,Self-employed,Working,Sales staff,,,,,
20846,Self-employed,Commercial associate,UNKNOWN,,,,,
20847,XNA,Pensioner,UNKNOWN,,,,,
20848,XNA,Pensioner,UNKNOWN,,,,,
20849,Trade: type 1,Commercial associate,Drivers,,,,,
20850,School,State servant,Core staff,,,,,
20851,Industry: type 3,Commercial associate,Sales staff,,,,,
20852,XNA,Pensioner,UNKNOWN,,,,,
20853,Hotel,State servant,Cooking staff,,,,,
20854,Medicine,Working,Accountants,,,,,
20855,Business Entity Type 2,Working,Security staff,,,,,
20856,Self-employed,Commercial associate,Sales staff,,,,,
20857,Business Entity Type 3,Working,Private service staff,,,,,
20858,Industry: type 3,Working,High skill tech staff,,,,,
20859,Business Entity Type 3,Commercial associate,Sales staff,,,,,
20860,School,Commercial associate,Core staff,,,,,
20861,Business Entity Type 3,Working,Sales staff,,,,,
20862,Business Entity Type 3,Working,Managers,,,,,
20863,XNA,Pensioner,UNKNOWN,,,,,
20864,Self-employed,Working,Sales staff,,,,,
20865,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
20866,Industry: type 3,Working,UNKNOWN,,,,,
20867,Other,Working,Sales staff,,,,,
20868,Government,Working,Drivers,,,,,
20869,Government,State servant,Core staff,,,,,
20870,Business Entity Type 3,Working,Drivers,,,,,
20871,Business Entity Type 3,Working,Laborers,,,,,
20872,Bank,Working,Core staff,,,,,
20873,XNA,Pensioner,UNKNOWN,,,,,
20874,Trade: type 7,Commercial associate,Managers,,,,,
20875,Government,Commercial associate,Managers,,,,,
20876,Kindergarten,State servant,Accountants,,,,,
20877,Security,Commercial associate,Security staff,,,,,
20878,Self-employed,Working,Laborers,,,,,
20879,XNA,Pensioner,UNKNOWN,,,,,
20880,XNA,Pensioner,UNKNOWN,,,,,
20881,Agriculture,Working,Accountants,,,,,
20882,XNA,Pensioner,UNKNOWN,,,,,
20883,Medicine,Working,Private service staff,,,,,
20884,Industry: type 3,Working,Laborers,,,,,
20885,Other,State servant,UNKNOWN,,,,,
20886,Medicine,State servant,Medicine staff,,,,,
20887,Self-employed,Working,Private service staff,,,,,
20888,Business Entity Type 3,Working,UNKNOWN,,,,,
20889,Business Entity Type 2,Working,UNKNOWN,,,,,
20890,Trade: type 3,Commercial associate,Laborers,,,,,
20891,Government,State servant,Core staff,,,,,
20892,Business Entity Type 3,Commercial associate,Drivers,,,,,
20893,Construction,Working,Laborers,,,,,
20894,University,Working,Core staff,,,,,
20895,XNA,Pensioner,UNKNOWN,,,,,
20896,Business Entity Type 1,Working,High skill tech staff,,,,,
20897,XNA,Pensioner,UNKNOWN,,,,,
20898,Other,Working,Security staff,,,,,
20899,Business Entity Type 2,Working,Laborers,,,,,
20900,Industry: type 11,Working,UNKNOWN,,,,,
20901,XNA,Pensioner,UNKNOWN,,,,,
20902,XNA,Pensioner,UNKNOWN,,,,,
20903,Self-employed,Commercial associate,Sales staff,,,,,
20904,XNA,Pensioner,UNKNOWN,,,,,
20905,Other,Commercial associate,UNKNOWN,,,,,
20906,Other,State servant,Medicine staff,,,,,
20907,Trade: type 2,Commercial associate,Sales staff,,,,,
20908,XNA,Pensioner,UNKNOWN,,,,,
20909,Business Entity Type 3,Commercial associate,Laborers,,,,,
20910,Trade: type 7,Working,Sales staff,,,,,
20911,Business Entity Type 3,Working,Sales staff,,,,,
20912,Medicine,Working,Core staff,,,,,
20913,Self-employed,Working,UNKNOWN,,,,,
20914,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
20915,Postal,State servant,Core staff,,,,,
20916,Business Entity Type 2,Working,UNKNOWN,,,,,
20917,Business Entity Type 3,Working,Laborers,,,,,
20918,Business Entity Type 3,Commercial associate,Laborers,,,,,
20919,Kindergarten,State servant,UNKNOWN,,,,,
20920,XNA,Pensioner,UNKNOWN,,,,,
20921,Government,State servant,Core staff,,,,,
20922,Business Entity Type 3,Working,Sales staff,,,,,
20923,Self-employed,Commercial associate,Sales staff,,,,,
20924,XNA,Pensioner,UNKNOWN,,,,,
20925,Security,Working,Security staff,,,,,
20926,Other,Working,Private service staff,,,,,
20927,Bank,State servant,Accountants,,,,,
20928,Other,Working,UNKNOWN,,,,,
20929,Self-employed,Working,Private service staff,,,,,
20930,Self-employed,Working,UNKNOWN,,,,,
20931,XNA,Pensioner,UNKNOWN,,,,,
20932,Business Entity Type 3,Working,Drivers,,,,,
20933,Trade: type 6,Working,High skill tech staff,,,,,
20934,School,State servant,Core staff,,,,,
20935,Business Entity Type 3,Working,High skill tech staff,,,,,
20936,Kindergarten,State servant,Cooking staff,,,,,
20937,Business Entity Type 3,Working,Laborers,,,,,
20938,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
20939,Self-employed,Working,Laborers,,,,,
20940,Industry: type 7,Commercial associate,Laborers,,,,,
20941,Business Entity Type 1,Commercial associate,Laborers,,,,,
20942,Medicine,State servant,Core staff,,,,,
20943,Kindergarten,Working,Core staff,,,,,
20944,Self-employed,Working,Managers,,,,,
20945,Business Entity Type 3,Working,Laborers,,,,,
20946,Other,Working,IT staff,,,,,
20947,Business Entity Type 2,Working,UNKNOWN,,,,,
20948,Transport: type 4,Working,Drivers,,,,,
20949,Transport: type 4,Commercial associate,Laborers,,,,,
20950,XNA,Pensioner,UNKNOWN,,,,,
20951,Business Entity Type 3,Working,Laborers,,,,,
20952,Self-employed,Working,Laborers,,,,,
20953,Self-employed,Working,Drivers,,,,,
20954,Other,Working,UNKNOWN,,,,,
20955,Postal,State servant,Laborers,,,,,
20956,Transport: type 4,Working,Managers,,,,,
20957,Industry: type 5,Commercial associate,Laborers,,,,,
20958,Government,Commercial associate,Core staff,,,,,
20959,Business Entity Type 3,Working,Security staff,,,,,
20960,University,Working,Managers,,,,,
20961,Transport: type 3,Working,Drivers,,,,,
20962,Business Entity Type 3,Commercial associate,Low-skill Laborers,,,,,
20963,Business Entity Type 2,Working,High skill tech staff,,,,,
20964,Medicine,State servant,Medicine staff,,,,,
20965,Self-employed,Commercial associate,Private service staff,,,,,
20966,XNA,Pensioner,UNKNOWN,,,,,
20967,Business Entity Type 3,Working,Managers,,,,,
20968,School,State servant,Secretaries,,,,,
20969,Industry: type 4,Commercial associate,Sales staff,,,,,
20970,Transport: type 3,Commercial associate,Drivers,,,,,
20971,Industry: type 3,Working,Laborers,,,,,
20972,Self-employed,Working,Managers,,,,,
20973,Services,Commercial associate,Realty agents,,,,,
20974,Industry: type 11,Commercial associate,UNKNOWN,,,,,
20975,XNA,Pensioner,UNKNOWN,,,,,
20976,XNA,Pensioner,UNKNOWN,,,,,
20977,Other,Working,Low-skill Laborers,,,,,
20978,School,State servant,Core staff,,,,,
20979,Business Entity Type 3,Working,UNKNOWN,,,,,
20980,Business Entity Type 3,Working,UNKNOWN,,,,,
20981,Trade: type 3,Commercial associate,UNKNOWN,,,,,
20982,University,Working,UNKNOWN,,,,,
20983,Business Entity Type 3,Working,Sales staff,,,,,
20984,Business Entity Type 3,Working,Laborers,,,,,
20985,Government,Working,Core staff,,,,,
20986,School,State servant,Core staff,,,,,
20987,XNA,Pensioner,UNKNOWN,,,,,
20988,Business Entity Type 3,Working,Managers,,,,,
20989,Self-employed,Working,Laborers,,,,,
20990,Other,Working,Laborers,,,,,
20991,XNA,Pensioner,UNKNOWN,,,,,
20992,Trade: type 7,Commercial associate,Drivers,,,,,
20993,Trade: type 7,Working,Sales staff,,,,,
20994,XNA,Pensioner,UNKNOWN,,,,,
20995,Government,State servant,Core staff,,,,,
20996,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
20997,Business Entity Type 2,Working,Laborers,,,,,
20998,XNA,Pensioner,UNKNOWN,,,,,
20999,Other,Working,Accountants,,,,,
21000,Medicine,Working,Medicine staff,,,,,
21001,XNA,Pensioner,UNKNOWN,,,,,
21002,Trade: type 1,Working,Core staff,,,,,
21003,Medicine,Working,High skill tech staff,,,,,
21004,Other,Working,Laborers,,,,,
21005,XNA,Pensioner,UNKNOWN,,,,,
21006,Self-employed,Working,Laborers,,,,,
21007,Business Entity Type 1,Commercial associate,UNKNOWN,,,,,
21008,Construction,Commercial associate,High skill tech staff,,,,,
21009,Self-employed,Working,Laborers,,,,,
21010,Self-employed,Commercial associate,Drivers,,,,,
21011,Business Entity Type 3,Working,Sales staff,,,,,
21012,Business Entity Type 3,Working,Managers,,,,,
21013,Other,Working,UNKNOWN,,,,,
21014,Military,Working,Managers,,,,,
21015,School,Commercial associate,Accountants,,,,,
21016,XNA,Pensioner,UNKNOWN,,,,,
21017,Other,Working,Accountants,,,,,
21018,Business Entity Type 3,Commercial associate,Private service staff,,,,,
21019,Transport: type 4,Commercial associate,Accountants,,,,,
21020,Trade: type 3,Working,High skill tech staff,,,,,
21021,Medicine,Working,Medicine staff,,,,,
21022,Business Entity Type 3,Working,Sales staff,,,,,
21023,Business Entity Type 3,Working,High skill tech staff,,,,,
21024,XNA,Pensioner,UNKNOWN,,,,,
21025,Military,State servant,Core staff,,,,,
21026,Government,Working,Sales staff,,,,,
21027,Self-employed,Working,Low-skill Laborers,,,,,
21028,Self-employed,Commercial associate,Managers,,,,,
21029,Government,Working,UNKNOWN,,,,,
21030,Industry: type 3,Commercial associate,Drivers,,,,,
21031,Business Entity Type 3,Commercial associate,Laborers,,,,,
21032,XNA,Pensioner,UNKNOWN,,,,,
21033,Transport: type 4,Working,Sales staff,,,,,
21034,Industry: type 7,Commercial associate,Laborers,,,,,
21035,Other,Commercial associate,Medicine staff,,,,,
21036,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21037,XNA,Pensioner,UNKNOWN,,,,,
21038,Trade: type 3,Commercial associate,Core staff,,,,,
21039,Business Entity Type 3,Working,Cleaning staff,,,,,
21040,Other,Working,UNKNOWN,,,,,
21041,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21042,Agriculture,Working,HR staff,,,,,
21043,Business Entity Type 3,Working,Laborers,,,,,
21044,Self-employed,Working,Laborers,,,,,
21045,Self-employed,Working,Sales staff,,,,,
21046,Trade: type 7,Commercial associate,Waiters/barmen staff,,,,,
21047,XNA,Pensioner,UNKNOWN,,,,,
21048,Other,Working,Medicine staff,,,,,
21049,XNA,Pensioner,UNKNOWN,,,,,
21050,XNA,Pensioner,UNKNOWN,,,,,
21051,XNA,Pensioner,UNKNOWN,,,,,
21052,Other,Working,Medicine staff,,,,,
21053,Construction,Commercial associate,Laborers,,,,,
21054,Business Entity Type 3,Working,Laborers,,,,,
21055,Government,Working,Drivers,,,,,
21056,Electricity,Working,High skill tech staff,,,,,
21057,Government,Working,Core staff,,,,,
21058,Self-employed,Working,Managers,,,,,
21059,Business Entity Type 3,Working,Accountants,,,,,
21060,Self-employed,Working,Managers,,,,,
21061,Other,Commercial associate,UNKNOWN,,,,,
21062,Transport: type 4,Working,UNKNOWN,,,,,
21063,Business Entity Type 2,Commercial associate,Laborers,,,,,
21064,Government,Working,Laborers,,,,,
21065,Business Entity Type 3,Commercial associate,Laborers,,,,,
21066,Medicine,Working,Medicine staff,,,,,
21067,Transport: type 2,Working,UNKNOWN,,,,,
21068,Kindergarten,Working,Core staff,,,,,
21069,XNA,Pensioner,UNKNOWN,,,,,
21070,Other,Working,UNKNOWN,,,,,
21071,Self-employed,Commercial associate,Sales staff,,,,,
21072,Self-employed,Commercial associate,Sales staff,,,,,
21073,School,Working,Laborers,,,,,
21074,Business Entity Type 3,Commercial associate,Managers,,,,,
21075,XNA,Pensioner,UNKNOWN,,,,,
21076,Other,Working,UNKNOWN,,,,,
21077,XNA,Pensioner,UNKNOWN,,,,,
21078,XNA,Pensioner,UNKNOWN,,,,,
21079,Transport: type 4,Working,Drivers,,,,,
21080,Business Entity Type 3,Working,Laborers,,,,,
21081,XNA,Pensioner,UNKNOWN,,,,,
21082,XNA,Pensioner,UNKNOWN,,,,,
21083,Self-employed,Working,Laborers,,,,,
21084,XNA,Pensioner,UNKNOWN,,,,,
21085,Business Entity Type 3,Working,Laborers,,,,,
21086,Kindergarten,Working,Core staff,,,,,
21087,Business Entity Type 1,Working,Laborers,,,,,
21088,XNA,Pensioner,UNKNOWN,,,,,
21089,Business Entity Type 1,Working,Sales staff,,,,,
21090,Trade: type 2,Working,Sales staff,,,,,
21091,Postal,State servant,Managers,,,,,
21092,Business Entity Type 3,Working,Private service staff,,,,,
21093,Medicine,Working,High skill tech staff,,,,,
21094,Other,Working,Medicine staff,,,,,
21095,XNA,Pensioner,UNKNOWN,,,,,
21096,Transport: type 3,Commercial associate,Drivers,,,,,
21097,Industry: type 9,Commercial associate,Low-skill Laborers,,,,,
21098,Legal Services,Working,Core staff,,,,,
21099,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21100,Business Entity Type 2,Working,Laborers,,,,,
21101,Religion,Working,Core staff,,,,,
21102,XNA,Pensioner,UNKNOWN,,,,,
21103,XNA,Pensioner,UNKNOWN,,,,,
21104,Other,Working,Laborers,,,,,
21105,Business Entity Type 3,Working,Drivers,,,,,
21106,Self-employed,Working,Sales staff,,,,,
21107,Business Entity Type 3,Working,UNKNOWN,,,,,
21108,XNA,Pensioner,UNKNOWN,,,,,
21109,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21110,Business Entity Type 3,Working,Cooking staff,,,,,
21111,School,State servant,UNKNOWN,,,,,
21112,Medicine,Working,Core staff,,,,,
21113,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21114,Business Entity Type 3,Working,UNKNOWN,,,,,
21115,Construction,Commercial associate,Drivers,,,,,
21116,Other,Working,Cooking staff,,,,,
21117,XNA,Pensioner,UNKNOWN,,,,,
21118,Mobile,Working,UNKNOWN,,,,,
21119,XNA,Pensioner,UNKNOWN,,,,,
21120,Industry: type 3,Working,Laborers,,,,,
21121,Bank,Working,Cleaning staff,,,,,
21122,Postal,Commercial associate,Laborers,,,,,
21123,Industry: type 9,State servant,Laborers,,,,,
21124,Business Entity Type 3,Working,Sales staff,,,,,
21125,Business Entity Type 3,Commercial associate,Managers,,,,,
21126,School,State servant,UNKNOWN,,,,,
21127,Business Entity Type 2,Commercial associate,High skill tech staff,,,,,
21128,XNA,Pensioner,UNKNOWN,,,,,
21129,Business Entity Type 3,Working,UNKNOWN,,,,,
21130,Medicine,Working,Medicine staff,,,,,
21131,Other,Working,Laborers,,,,,
21132,Self-employed,Working,Sales staff,,,,,
21133,School,Commercial associate,Cleaning staff,,,,,
21134,Military,Working,Managers,,,,,
21135,Construction,Commercial associate,Laborers,,,,,
21136,Self-employed,Working,Drivers,,,,,
21137,XNA,Pensioner,UNKNOWN,,,,,
21138,Construction,Working,Laborers,,,,,
21139,XNA,Pensioner,UNKNOWN,,,,,
21140,Agriculture,Working,Drivers,,,,,
21141,Business Entity Type 3,Working,Sales staff,,,,,
21142,XNA,Pensioner,UNKNOWN,,,,,
21143,Self-employed,Working,Core staff,,,,,
21144,Business Entity Type 2,Working,High skill tech staff,,,,,
21145,XNA,Pensioner,UNKNOWN,,,,,
21146,Industry: type 9,Commercial associate,Core staff,,,,,
21147,XNA,Pensioner,UNKNOWN,,,,,
21148,Business Entity Type 3,Working,Laborers,,,,,
21149,Self-employed,Working,Security staff,,,,,
21150,Trade: type 7,Commercial associate,Managers,,,,,
21151,XNA,Pensioner,UNKNOWN,,,,,
21152,Self-employed,Working,Cooking staff,,,,,
21153,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21154,Business Entity Type 3,Working,UNKNOWN,,,,,
21155,Self-employed,Working,UNKNOWN,,,,,
21156,XNA,Pensioner,UNKNOWN,,,,,
21157,Realtor,Commercial associate,Realty agents,,,,,
21158,Medicine,State servant,Medicine staff,,,,,
21159,Business Entity Type 1,Working,Managers,,,,,
21160,Medicine,Commercial associate,Core staff,,,,,
21161,Kindergarten,Working,Medicine staff,,,,,
21162,Business Entity Type 3,Working,Laborers,,,,,
21163,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21164,School,Working,Realty agents,,,,,
21165,Business Entity Type 3,Commercial associate,Accountants,,,,,
21166,Bank,Commercial associate,Core staff,,,,,
21167,Self-employed,Working,Waiters/barmen staff,,,,,
21168,Other,Working,Laborers,,,,,
21169,Other,Commercial associate,Laborers,,,,,
21170,Other,Working,UNKNOWN,,,,,
21171,Business Entity Type 1,Commercial associate,Drivers,,,,,
21172,Security Ministries,State servant,UNKNOWN,,,,,
21173,Business Entity Type 3,Working,Laborers,,,,,
21174,Trade: type 7,Commercial associate,Laborers,,,,,
21175,Hotel,Working,Cooking staff,,,,,
21176,Self-employed,Working,Sales staff,,,,,
21177,Construction,Working,Laborers,,,,,
21178,Self-employed,Working,Sales staff,,,,,
21179,Self-employed,Working,Laborers,,,,,
21180,Military,State servant,High skill tech staff,,,,,
21181,Business Entity Type 3,Working,Security staff,,,,,
21182,XNA,Pensioner,UNKNOWN,,,,,
21183,XNA,Pensioner,UNKNOWN,,,,,
21184,Business Entity Type 3,Working,Laborers,,,,,
21185,Other,Working,Laborers,,,,,
21186,Other,Working,UNKNOWN,,,,,
21187,Self-employed,Working,UNKNOWN,,,,,
21188,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21189,Kindergarten,Working,Core staff,,,,,
21190,Government,State servant,Core staff,,,,,
21191,Self-employed,Working,Drivers,,,,,
21192,Business Entity Type 3,Working,Sales staff,,,,,
21193,Business Entity Type 2,Working,Laborers,,,,,
21194,Business Entity Type 2,Commercial associate,High skill tech staff,,,,,
21195,Self-employed,Working,Cooking staff,,,,,
21196,Business Entity Type 3,Working,Accountants,,,,,
21197,Business Entity Type 3,Working,Laborers,,,,,
21198,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
21199,XNA,Pensioner,UNKNOWN,,,,,
21200,Business Entity Type 3,Working,Cleaning staff,,,,,
21201,Self-employed,Commercial associate,Core staff,,,,,
21202,University,Working,UNKNOWN,,,,,
21203,XNA,Pensioner,UNKNOWN,,,,,
21204,XNA,Pensioner,UNKNOWN,,,,,
21205,Construction,Commercial associate,Laborers,,,,,
21206,XNA,Pensioner,UNKNOWN,,,,,
21207,Business Entity Type 2,Commercial associate,Accountants,,,,,
21208,Medicine,State servant,Core staff,,,,,
21209,Business Entity Type 3,Working,Waiters/barmen staff,,,,,
21210,Self-employed,Working,Drivers,,,,,
21211,Self-employed,Working,UNKNOWN,,,,,
21212,Business Entity Type 3,Working,Core staff,,,,,
21213,Business Entity Type 2,Working,High skill tech staff,,,,,
21214,Self-employed,Commercial associate,Drivers,,,,,
21215,Self-employed,Working,Laborers,,,,,
21216,Construction,Commercial associate,Laborers,,,,,
21217,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
21218,Self-employed,Commercial associate,Managers,,,,,
21219,Self-employed,Working,Sales staff,,,,,
21220,Culture,Working,Laborers,,,,,
21221,School,Working,Core staff,,,,,
21222,Other,Commercial associate,Medicine staff,,,,,
21223,Trade: type 2,Commercial associate,Sales staff,,,,,
21224,XNA,Pensioner,UNKNOWN,,,,,
21225,Business Entity Type 2,Working,UNKNOWN,,,,,
21226,Business Entity Type 2,Working,Drivers,,,,,
21227,XNA,Pensioner,UNKNOWN,,,,,
21228,Self-employed,Working,Sales staff,,,,,
21229,Bank,Working,Cleaning staff,,,,,
21230,Business Entity Type 3,Working,Laborers,,,,,
21231,Business Entity Type 3,Working,Realty agents,,,,,
21232,Medicine,Commercial associate,Medicine staff,,,,,
21233,Self-employed,Working,Managers,,,,,
21234,Kindergarten,Working,Managers,,,,,
21235,XNA,Pensioner,UNKNOWN,,,,,
21236,Business Entity Type 1,Working,Sales staff,,,,,
21237,Government,State servant,UNKNOWN,,,,,
21238,Business Entity Type 3,Working,Drivers,,,,,
21239,Self-employed,Commercial associate,Laborers,,,,,
21240,Business Entity Type 3,Working,Laborers,,,,,
21241,XNA,Pensioner,UNKNOWN,,,,,
21242,Business Entity Type 3,Working,Cleaning staff,,,,,
21243,Trade: type 7,Working,High skill tech staff,,,,,
21244,Government,Working,UNKNOWN,,,,,
21245,Business Entity Type 2,Working,Cleaning staff,,,,,
21246,XNA,Pensioner,UNKNOWN,,,,,
21247,Business Entity Type 3,Commercial associate,Laborers,,,,,
21248,XNA,Pensioner,UNKNOWN,,,,,
21249,Business Entity Type 3,Commercial associate,Laborers,,,,,
21250,Trade: type 7,Working,Sales staff,,,,,
21251,XNA,Pensioner,UNKNOWN,,,,,
21252,XNA,Pensioner,UNKNOWN,,,,,
21253,Security,Working,UNKNOWN,,,,,
21254,XNA,Pensioner,UNKNOWN,,,,,
21255,Self-employed,Commercial associate,UNKNOWN,,,,,
21256,Telecom,Working,Laborers,,,,,
21257,Self-employed,Working,Sales staff,,,,,
21258,XNA,Pensioner,UNKNOWN,,,,,
21259,Other,Working,Drivers,,,,,
21260,Business Entity Type 3,Working,UNKNOWN,,,,,
21261,Construction,Commercial associate,Accountants,,,,,
21262,Business Entity Type 3,Working,Laborers,,,,,
21263,XNA,Pensioner,UNKNOWN,,,,,
21264,Housing,Working,Laborers,,,,,
21265,Self-employed,Working,UNKNOWN,,,,,
21266,Self-employed,Commercial associate,Sales staff,,,,,
21267,Trade: type 7,Working,Sales staff,,,,,
21268,XNA,Pensioner,UNKNOWN,,,,,
21269,Self-employed,Working,Core staff,,,,,
21270,XNA,Pensioner,UNKNOWN,,,,,
21271,Business Entity Type 3,Working,Security staff,,,,,
21272,Business Entity Type 3,Commercial associate,Laborers,,,,,
21273,XNA,Pensioner,UNKNOWN,,,,,
21274,Business Entity Type 3,Working,Security staff,,,,,
21275,Business Entity Type 3,Working,Drivers,,,,,
21276,Security Ministries,State servant,Core staff,,,,,
21277,Self-employed,Working,Drivers,,,,,
21278,Medicine,State servant,Core staff,,,,,
21279,Business Entity Type 3,Working,Laborers,,,,,
21280,Medicine,Commercial associate,Medicine staff,,,,,
21281,Self-employed,Commercial associate,Sales staff,,,,,
21282,Other,State servant,UNKNOWN,,,,,
21283,Transport: type 4,Working,Laborers,,,,,
21284,Trade: type 7,Working,Drivers,,,,,
21285,Restaurant,Working,UNKNOWN,,,,,
21286,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21287,Business Entity Type 3,Working,Laborers,,,,,
21288,XNA,Pensioner,UNKNOWN,,,,,
21289,XNA,Pensioner,UNKNOWN,,,,,
21290,Self-employed,Working,Private service staff,,,,,
21291,Business Entity Type 3,Working,Sales staff,,,,,
21292,Self-employed,Working,UNKNOWN,,,,,
21293,Other,State servant,Cooking staff,,,,,
21294,Self-employed,Commercial associate,Sales staff,,,,,
21295,Other,Working,Sales staff,,,,,
21296,Other,State servant,UNKNOWN,,,,,
21297,Security,Working,Security staff,,,,,
21298,Restaurant,Working,Cooking staff,,,,,
21299,Cleaning,Working,Medicine staff,,,,,
21300,Self-employed,Commercial associate,Laborers,,,,,
21301,Construction,Working,Laborers,,,,,
21302,Medicine,State servant,Managers,,,,,
21303,Emergency,Working,Cleaning staff,,,,,
21304,Other,Working,Laborers,,,,,
21305,Medicine,Commercial associate,Medicine staff,,,,,
21306,Trade: type 7,Working,Sales staff,,,,,
21307,Other,Working,Laborers,,,,,
21308,XNA,Pensioner,UNKNOWN,,,,,
21309,Transport: type 2,Working,UNKNOWN,,,,,
21310,Bank,Working,Core staff,,,,,
21311,Transport: type 4,Working,Laborers,,,,,
21312,Other,Working,UNKNOWN,,,,,
21313,XNA,Pensioner,UNKNOWN,,,,,
21314,Kindergarten,Working,Core staff,,,,,
21315,Trade: type 7,Commercial associate,Core staff,,,,,
21316,Hotel,Working,Cooking staff,,,,,
21317,Other,Working,High skill tech staff,,,,,
21318,Self-employed,Commercial associate,Managers,,,,,
21319,Business Entity Type 3,Commercial associate,Managers,,,,,
21320,Services,Working,Private service staff,,,,,
21321,Self-employed,Commercial associate,Sales staff,,,,,
21322,Government,Working,Cleaning staff,,,,,
21323,Government,Working,Laborers,,,,,
21324,Trade: type 3,Working,Sales staff,,,,,
21325,XNA,Pensioner,UNKNOWN,,,,,
21326,School,Commercial associate,Managers,,,,,
21327,Kindergarten,Working,Core staff,,,,,
21328,Trade: type 2,State servant,Sales staff,,,,,
21329,Business Entity Type 3,Working,Sales staff,,,,,
21330,Trade: type 7,Working,Managers,,,,,
21331,Business Entity Type 2,Working,Security staff,,,,,
21332,Business Entity Type 3,Working,Managers,,,,,
21333,XNA,Pensioner,UNKNOWN,,,,,
21334,Construction,Working,Drivers,,,,,
21335,XNA,Pensioner,UNKNOWN,,,,,
21336,XNA,Pensioner,UNKNOWN,,,,,
21337,Business Entity Type 3,Working,Accountants,,,,,
21338,Other,Working,Managers,,,,,
21339,XNA,Pensioner,UNKNOWN,,,,,
21340,XNA,Pensioner,UNKNOWN,,,,,
